,ActualWarrenty,CompanyWarranty,ContactForce,Cracks,CurrentFlow,DateTime,DeviceCategory,DeviceSpeed,DynamicAcceleration,EnvTemperature,HeatGenerated,Humidity,ImpactAcceleration,LateralAcceleration,Latitude,Longitude,Noofdevices,RepairedNo,Strain,StructureDistortion,StructureMovement,TransverseDeformation,UsagePerDay,VerticalContactForce,VerticalDisplacement,Vibration:,Voltage,WindSpeed,category
723,6,1,6792,0,16,2017-05-01,Cordless Power Tools,1881,214,39,74,80,19,10,31,106,57,2,1,7,9,4,11,1531,10,8,213,4,Power Tools
724,49,1,7885,1,16,2017-05-01,Fastening Systems,1219,109,46,42,77,13,143,40,37,55,4,3,10,5,3,21,1690,18,44,152,0,Power Tools
725,47,1,1837,0,16,2017-05-02,Diamond Tools,1850,111,38,45,33,28,166,47,98,59,2,1,6,9,4,18,1295,20,10,155,14,Power Tools
726,46,1,9896,1,16,2017-05-02,Drilling and Demolition Tools,1539,250,43,63,66,4,51,50,133,27,0,2,7,10,9,0,1511,13,167,237,49,Power Tools
727,8,1,5175,0,16,2017-05-02,Measuring Tools,1435,43,47,72,32,20,191,16,34,21,2,9,7,6,9,8,1250,50,148,166,16,Power Tools
728,27,1,9854,1,16,2017-05-02,Cordless Power Tools,1414,231,21,57,74,29,222,57,138,41,1,0,4,6,6,20,1286,22,64,200,25,Power Tools
729,42,1,7059,1,16,2017-05-02,Fastening Systems,1511,176,41,41,100,24,199,16,10,12,4,9,9,0,2,11,1447,27,178,159,18,Power Tools
730,41,1,1205,1,16,2017-05-03,Diamond Tools,1480,70,47,41,97,23,128,13,65,10,1,1,5,10,2,22,1701,49,242,266,17,Power Tools
731,32,1,2574,0,16,2017-05-03,Drilling and Demolition Tools,912,190,53,95,35,12,208,9,162,41,0,3,7,2,7,15,1967,42,6,245,35,Power Tools
732,47,1,7694,1,16,2017-05-03,Measuring Tools,1228,16,60,72,81,20,234,32,104,22,0,5,3,0,7,1,1958,6,219,264,38,Power Tools
733,36,1,8929,0,16,2017-05-03,Cordless Power Tools,1601,154,30,84,65,4,53,39,108,53,4,6,5,6,7,24,1681,28,2,186,13,Power Tools
734,49,1,8021,0,16,2017-05-03,Fastening Systems,597,70,55,67,73,6,234,65,115,49,0,2,2,3,3,2,1802,2,192,207,49,Power Tools
735,2,1,4103,1,16,2017-05-04,Diamond Tools,1946,239,38,62,74,6,196,39,26,16,5,9,1,6,5,5,1404,30,33,202,41,Power Tools
736,21,1,9414,1,16,2017-05-04,Drilling and Demolition Tools,1701,51,44,91,80,26,87,4,13,0,5,3,9,0,10,6,1067,47,214,152,46,Power Tools
737,13,1,4256,1,16,2017-05-04,Measuring Tools,610,151,57,90,37,12,224,54,167,22,2,2,9,4,10,4,1091,11,47,216,47,Power Tools
738,26,1,3137,0,16,2017-05-04,Cordless Power Tools,811,107,56,51,41,4,221,36,121,10,1,6,10,10,9,11,1309,42,69,256,40,Power Tools
739,49,1,3256,1,16,2017-05-04,Fastening Systems,1169,149,49,88,97,17,212,35,142,24,5,4,10,8,2,8,1574,29,87,211,30,Power Tools
740,23,1,2085,1,16,2017-05-05,Diamond Tools,1168,119,50,49,55,27,113,88,58,33,4,10,0,6,3,8,1759,19,217,260,39,Power Tools
741,39,1,6692,0,16,2017-05-05,Drilling and Demolition Tools,650,187,47,89,87,21,88,52,51,10,1,6,4,3,9,20,1611,2,78,153,26,Power Tools
742,9,1,3994,1,16,2017-05-05,Measuring Tools,1769,234,35,92,56,21,14,1,138,51,1,2,4,5,4,3,1619,2,1,229,8,Power Tools
743,23,1,5568,1,16,2017-05-05,Cordless Power Tools,781,210,49,66,47,6,197,76,124,25,2,9,0,3,6,12,1449,18,82,256,47,Power Tools
744,44,1,3680,0,16,2017-05-05,Fastening Systems,1702,21,41,89,35,28,104,12,15,28,1,4,9,1,8,20,1826,22,18,207,32,Power Tools
745,18,1,8640,1,16,2017-05-06,Diamond Tools,1690,152,48,51,88,10,14,68,122,46,5,1,10,5,9,12,1580,17,150,265,19,Power Tools
746,51,1,7690,1,16,2017-05-06,Drilling and Demolition Tools,940,119,57,60,46,3,23,56,12,23,3,5,9,10,7,0,1366,25,151,185,28,Power Tools
747,33,1,1419,0,16,2017-05-06,Measuring Tools,957,138,44,82,42,7,46,19,8,6,0,10,4,6,8,8,1921,13,65,208,23,Power Tools
748,20,1,3016,1,16,2017-05-06,Cordless Power Tools,1319,13,45,75,42,10,112,7,23,18,4,1,0,10,9,11,1661,8,7,200,4,Power Tools
749,41,1,2005,1,16,2017-05-06,Fastening Systems,1715,148,47,71,45,0,47,1,153,25,0,1,3,5,1,17,1948,37,6,214,49,Power Tools
750,24,1,7322,1,16,2017-05-07,Diamond Tools,1674,202,34,62,82,12,218,14,31,56,5,4,1,1,4,4,1885,3,15,175,11,Power Tools
751,2,1,3431,0,16,2017-05-07,Drilling and Demolition Tools,834,162,53,42,86,4,21,67,95,4,3,7,4,6,9,18,1639,38,209,207,49,Power Tools
752,49,1,1597,0,16,2017-05-07,Measuring Tools,522,214,22,87,56,18,165,31,33,38,0,2,9,0,2,10,1898,42,45,208,48,Power Tools
753,34,1,4423,1,16,2017-05-07,Cordless Power Tools,978,149,43,57,74,30,239,20,70,33,2,7,9,7,8,4,1094,42,97,191,49,Power Tools
754,49,1,7272,1,16,2017-05-07,Fastening Systems,560,206,31,45,48,27,84,11,20,2,3,8,3,1,4,20,1343,44,30,243,7,Power Tools
755,38,1,5716,1,16,2017-05-08,Diamond Tools,1598,128,28,41,54,13,153,83,110,7,2,5,6,7,9,24,1506,5,20,214,21,Power Tools
756,30,1,2471,0,16,2017-05-08,Drilling and Demolition Tools,1669,208,58,57,71,4,52,88,155,24,0,2,6,5,8,17,1514,31,245,204,11,Power Tools
757,51,1,1517,0,16,2017-05-08,Measuring Tools,1351,48,54,53,75,10,227,37,55,3,4,2,0,6,7,22,1792,47,226,260,46,Power Tools
758,32,1,9645,1,16,2017-05-08,Cordless Power Tools,1243,108,46,98,73,22,177,46,80,29,0,4,3,1,1,24,1920,37,76,244,42,Power Tools
759,47,1,7610,1,16,2017-05-08,Fastening Systems,1054,34,26,74,43,2,250,64,18,47,1,6,4,10,7,20,1940,20,212,225,2,Power Tools
760,8,1,7331,1,16,2017-05-09,Diamond Tools,1065,138,31,79,31,18,189,14,175,56,3,4,9,10,3,6,1790,39,2,198,44,Power Tools
761,49,1,8351,1,16,2017-05-09,Drilling and Demolition Tools,967,79,39,52,42,23,119,55,19,37,3,2,7,5,9,17,1334,38,160,207,47,Power Tools
762,42,1,9620,1,16,2017-05-09,Measuring Tools,1698,216,28,90,95,18,248,52,93,20,0,3,5,6,2,18,1455,38,151,221,17,Power Tools
763,28,1,1780,1,16,2017-05-09,Cordless Power Tools,899,85,21,44,79,27,194,26,113,57,5,6,3,2,10,7,1000,29,93,156,9,Power Tools
764,10,1,7691,0,16,2017-05-09,Fastening Systems,823,107,26,86,45,26,83,15,163,48,5,0,2,2,10,23,1913,32,189,268,13,Power Tools
765,49,1,5530,0,16,2017-05-10,Diamond Tools,1501,76,47,50,45,22,112,23,21,52,2,0,10,0,0,11,1691,38,223,225,2,Power Tools
766,42,1,7126,1,16,2017-05-10,Drilling and Demolition Tools,1222,42,49,50,32,6,229,46,59,7,1,7,3,0,4,10,1404,28,48,183,17,Power Tools
767,52,1,8170,1,16,2017-05-10,Measuring Tools,1515,173,51,89,33,14,127,63,137,50,1,6,2,5,7,20,1731,33,199,255,26,Power Tools
768,31,1,7717,1,16,2017-05-10,Cordless Power Tools,1172,43,60,73,70,4,47,75,92,46,3,10,7,10,7,21,1613,44,157,181,30,Power Tools
769,34,1,7253,0,16,2017-05-10,Fastening Systems,1815,45,38,77,45,0,168,0,73,43,3,6,3,0,0,3,1558,10,192,184,15,Power Tools
770,27,1,3128,0,16,2017-05-11,Diamond Tools,745,147,20,92,68,2,45,52,152,53,4,9,4,1,7,8,1693,10,175,265,21,Power Tools
771,41,1,7341,0,16,2017-05-11,Drilling and Demolition Tools,1042,183,42,76,62,0,75,75,16,60,0,1,2,4,9,7,1529,31,34,183,41,Power Tools
772,13,1,8525,1,16,2017-05-11,Measuring Tools,1791,34,56,93,51,18,55,2,90,13,2,0,9,8,3,22,1286,19,229,152,33,Power Tools
773,29,1,6283,1,16,2017-05-11,Cordless Power Tools,1637,87,30,96,64,15,94,17,1,12,3,2,8,2,5,21,1861,29,104,237,7,Power Tools
774,29,1,1588,0,16,2017-05-11,Fastening Systems,862,158,49,94,43,0,192,4,164,42,0,7,2,7,7,19,1933,40,201,160,27,Power Tools
775,37,1,8021,1,16,2017-05-12,Diamond Tools,1829,148,28,58,75,2,47,31,59,56,0,1,0,10,9,3,1418,50,222,243,4,Power Tools
776,51,1,4802,0,16,2017-05-12,Drilling and Demolition Tools,1824,206,38,62,48,30,65,36,92,30,1,8,6,4,5,1,1378,0,72,247,9,Power Tools
777,32,1,6278,1,16,2017-05-12,Measuring Tools,779,56,38,50,46,21,233,77,159,2,3,1,0,2,8,23,1330,30,248,270,34,Power Tools
778,46,1,8493,0,16,2017-05-12,Cordless Power Tools,658,242,28,67,54,4,169,76,108,8,5,7,9,7,8,23,1962,8,77,152,23,Power Tools
779,38,1,6892,1,16,2017-05-12,Fastening Systems,1984,50,27,42,73,3,239,59,20,18,0,2,3,4,10,16,1876,25,187,233,7,Power Tools
780,21,1,5353,1,16,2017-05-13,Diamond Tools,1909,162,28,46,77,23,141,85,151,45,0,5,6,1,7,12,1086,16,167,181,8,Power Tools
781,38,1,2632,1,16,2017-05-13,Drilling and Demolition Tools,1276,30,34,63,56,23,203,82,37,39,2,8,10,5,4,0,1599,29,211,197,40,Power Tools
782,32,1,9274,0,16,2017-05-13,Measuring Tools,1966,187,50,72,88,8,33,80,60,48,4,2,9,7,0,13,1414,20,218,194,28,Power Tools
783,7,1,9206,1,16,2017-05-13,Cordless Power Tools,959,241,52,93,61,20,185,82,135,44,5,10,6,5,4,5,1824,17,50,156,35,Power Tools
784,43,1,2470,0,16,2017-05-13,Fastening Systems,1629,109,23,84,50,22,142,85,45,41,3,8,7,3,5,8,1041,27,226,258,44,Power Tools
785,18,1,7104,0,16,2017-05-14,Diamond Tools,762,94,40,51,90,8,160,4,7,24,4,5,2,8,6,19,1576,40,164,177,14,Power Tools
786,35,1,2345,1,16,2017-05-14,Drilling and Demolition Tools,1458,175,20,46,96,7,78,81,135,25,1,6,7,6,9,24,1049,36,198,198,36,Power Tools
787,15,1,6353,0,16,2017-05-14,Measuring Tools,1260,174,28,74,34,4,157,7,64,41,2,10,7,4,10,10,1121,26,14,246,1,Power Tools
788,17,1,2527,1,16,2017-05-14,Cordless Power Tools,637,93,22,92,42,8,92,8,64,14,1,9,5,5,0,22,1231,34,125,194,21,Power Tools
789,10,1,8366,0,16,2017-05-14,Fastening Systems,1483,59,51,84,64,6,151,0,97,16,3,1,1,7,7,6,1611,21,82,259,11,Power Tools
790,9,1,1937,1,16,2017-05-15,Diamond Tools,708,10,43,59,37,25,122,63,51,46,3,9,0,3,4,9,1310,33,44,213,48,Power Tools
791,40,1,3958,0,16,2017-05-15,Drilling and Demolition Tools,712,35,41,68,38,14,102,4,126,50,2,7,4,4,10,4,1448,14,130,214,7,Power Tools
792,14,1,5648,0,16,2017-05-15,Measuring Tools,1455,221,39,82,61,20,226,3,139,26,1,2,3,9,2,20,1244,18,27,162,21,Power Tools
793,11,1,6315,1,16,2017-05-15,Cordless Power Tools,592,210,48,96,95,29,174,39,40,9,0,7,3,5,3,12,1784,42,127,224,12,Power Tools
794,46,1,5349,1,16,2017-05-15,Fastening Systems,835,53,27,78,67,23,11,65,38,38,4,1,2,7,8,22,1458,7,83,207,49,Power Tools
795,51,1,6042,1,16,2017-05-16,Diamond Tools,1045,223,30,66,87,28,203,76,114,36,5,1,5,2,10,19,1196,4,80,267,1,Power Tools
796,23,1,8178,1,16,2017-05-16,Drilling and Demolition Tools,972,144,57,61,73,23,91,70,149,0,5,0,3,8,8,1,1482,3,156,173,14,Power Tools
797,7,1,8718,1,16,2017-05-16,Measuring Tools,1852,147,59,78,100,6,78,48,146,35,4,1,5,9,8,3,1554,27,31,160,10,Power Tools
798,31,1,1292,1,16,2017-05-16,Cordless Power Tools,940,243,49,55,50,22,97,68,51,56,0,6,10,5,1,5,1658,4,153,168,41,Power Tools
799,52,1,5263,0,16,2017-05-16,Fastening Systems,1045,171,37,63,43,26,66,20,44,0,2,2,10,4,2,14,1522,2,43,159,30,Power Tools
800,7,1,4431,0,16,2017-05-17,Diamond Tools,1222,231,30,90,54,11,226,10,8,16,0,4,10,4,1,14,1863,43,222,207,21,Power Tools
801,26,1,6373,0,16,2017-05-17,Drilling and Demolition Tools,1422,10,27,82,73,22,190,33,58,36,5,4,2,1,7,21,1419,46,63,243,6,Power Tools
802,9,1,1415,0,16,2017-05-17,Measuring Tools,1242,186,23,78,69,28,209,21,132,51,1,5,4,0,7,20,1770,24,204,182,17,Power Tools
803,10,1,7470,0,16,2017-05-17,Cordless Power Tools,1797,183,55,64,57,3,217,48,77,15,3,1,3,9,4,10,1557,28,226,201,0,Power Tools
804,14,1,1209,1,16,2017-05-17,Fastening Systems,1495,189,44,62,75,17,158,3,111,24,3,1,5,4,3,22,1245,7,64,264,24,Power Tools
805,35,1,2640,0,16,2017-05-18,Diamond Tools,1689,213,25,93,96,4,161,30,86,51,5,9,2,3,1,8,1073,10,175,211,41,Power Tools
806,12,1,1043,1,16,2017-05-18,Drilling and Demolition Tools,1761,0,38,45,44,23,19,27,121,32,4,0,3,7,3,20,1158,1,183,223,5,Power Tools
807,41,1,5030,0,16,2017-05-18,Measuring Tools,1931,40,38,90,52,30,200,5,67,0,1,0,3,0,3,15,1370,36,58,211,38,Power Tools
808,15,1,2610,0,16,2017-05-18,Cordless Power Tools,1273,207,34,98,56,26,202,34,136,11,2,2,3,5,3,12,1646,45,133,249,27,Power Tools
809,23,1,5518,1,16,2017-05-18,Fastening Systems,1664,170,45,57,85,14,225,53,160,6,4,2,7,3,9,20,1725,9,72,168,30,Power Tools
810,30,1,1180,1,16,2017-05-19,Diamond Tools,1399,92,35,73,44,27,174,17,8,2,4,1,9,4,10,2,1790,38,56,223,21,Power Tools
811,16,1,2241,1,16,2017-05-19,Drilling and Demolition Tools,1567,194,54,73,42,5,57,1,110,2,2,1,2,9,1,20,1293,17,16,237,37,Power Tools
812,13,1,2027,1,16,2017-05-19,Measuring Tools,673,99,42,77,47,15,232,58,76,9,4,8,4,9,8,1,1189,46,66,265,44,Power Tools
813,10,1,3053,0,16,2017-05-19,Cordless Power Tools,1274,57,20,72,93,18,209,62,30,6,0,2,9,1,5,19,1490,8,150,220,16,Power Tools
814,30,1,5485,1,16,2017-05-19,Fastening Systems,1879,32,36,84,99,6,80,68,95,49,5,10,2,5,1,21,1282,46,196,176,47,Power Tools
815,15,1,4916,1,16,2017-05-20,Diamond Tools,807,128,20,48,93,28,7,76,70,50,3,1,2,7,7,16,1466,21,103,206,36,Power Tools
816,18,1,9053,1,16,2017-05-20,Drilling and Demolition Tools,1686,107,53,65,58,9,109,23,15,17,4,6,5,3,2,21,1918,6,126,200,9,Power Tools
817,49,1,4951,0,16,2017-05-20,Measuring Tools,1899,7,27,68,32,17,113,25,17,50,5,8,1,7,8,8,1959,14,230,251,12,Power Tools
818,41,1,3491,0,16,2017-05-20,Cordless Power Tools,1999,157,25,50,64,10,36,19,150,31,0,2,10,3,6,24,1080,2,203,161,32,Power Tools
819,41,1,5116,0,16,2017-05-20,Fastening Systems,1945,8,32,45,62,13,193,73,135,23,0,4,1,9,8,24,1201,43,213,189,31,Power Tools
820,34,1,5233,0,16,2017-05-21,Diamond Tools,532,164,40,55,68,11,154,10,63,12,5,0,4,10,8,6,1521,31,105,165,22,Power Tools
821,48,1,2584,0,16,2017-05-21,Drilling and Demolition Tools,1689,144,41,49,97,28,124,25,129,19,0,1,9,4,3,6,1964,22,185,238,17,Power Tools
822,1,1,3121,0,16,2017-05-21,Measuring Tools,756,128,41,68,35,25,109,56,136,14,3,2,7,10,8,0,1197,8,95,176,50,Power Tools
823,36,1,9504,1,16,2017-05-21,Cordless Power Tools,1661,28,26,86,44,20,149,58,78,59,5,8,1,10,5,5,1184,50,93,180,23,Power Tools
824,38,1,7631,0,16,2017-05-21,Fastening Systems,1781,40,35,62,39,28,80,66,37,27,3,6,4,4,10,17,1930,2,22,212,12,Power Tools
825,24,1,8135,0,16,2017-05-22,Diamond Tools,1740,98,27,41,60,4,8,13,167,51,0,0,7,9,1,12,1183,17,221,185,32,Power Tools
826,40,1,3376,1,16,2017-05-22,Drilling and Demolition Tools,1233,26,43,82,96,22,218,37,6,17,2,2,7,1,8,5,1702,16,30,229,28,Power Tools
827,50,1,7750,0,16,2017-05-22,Measuring Tools,1451,79,56,93,55,14,246,27,174,43,2,4,2,7,7,5,1827,41,63,221,42,Power Tools
828,12,1,4366,0,16,2017-05-22,Cordless Power Tools,1007,227,21,65,96,10,81,73,140,46,3,5,7,3,0,19,1380,38,213,179,7,Power Tools
829,18,1,1074,0,16,2017-05-22,Fastening Systems,930,182,35,64,86,30,206,3,40,54,5,8,10,3,6,11,1479,3,129,192,30,Power Tools
830,37,1,9129,0,16,2017-05-23,Diamond Tools,1629,98,54,48,85,30,27,3,51,40,3,7,1,5,6,21,1321,47,119,219,25,Power Tools
831,23,1,9430,1,16,2017-05-23,Drilling and Demolition Tools,1356,109,27,95,68,11,2,68,172,44,3,2,7,4,4,22,1833,38,130,259,6,Power Tools
832,4,1,5026,0,16,2017-05-23,Measuring Tools,1743,229,50,69,76,27,209,40,120,28,4,9,5,2,2,22,1207,34,80,154,50,Power Tools
833,52,1,5430,0,16,2017-05-23,Cordless Power Tools,1249,40,30,48,95,29,132,73,79,36,4,6,6,10,1,16,1783,15,35,214,22,Power Tools
834,36,1,6277,0,16,2017-05-23,Fastening Systems,585,92,46,41,32,29,1,75,176,28,3,9,0,1,0,13,1105,47,236,216,14,Power Tools
835,27,1,1975,0,16,2017-05-24,Diamond Tools,1993,32,60,84,83,12,170,65,91,5,4,3,5,7,5,23,1529,18,26,241,13,Power Tools
836,48,1,8878,0,16,2017-05-24,Drilling and Demolition Tools,1602,34,56,51,79,16,98,59,100,38,4,8,5,5,1,5,1371,46,233,213,34,Power Tools
837,52,1,5918,0,16,2017-05-24,Measuring Tools,1334,83,38,75,97,15,143,71,18,23,4,8,10,4,6,3,1487,11,250,250,46,Power Tools
838,34,1,6772,1,16,2017-05-24,Cordless Power Tools,1385,64,29,90,64,0,4,31,9,24,0,7,0,3,7,20,1067,31,64,214,25,Power Tools
839,15,1,8312,0,16,2017-05-24,Fastening Systems,1572,20,36,61,44,28,48,46,114,37,0,3,2,2,9,19,1734,11,82,216,40,Power Tools
840,17,1,9157,1,16,2017-05-25,Diamond Tools,1148,161,27,76,96,27,20,41,97,2,5,5,2,3,8,21,1822,26,145,185,30,Power Tools
841,10,1,5824,1,16,2017-05-25,Drilling and Demolition Tools,1774,74,35,97,89,17,54,52,47,37,2,9,2,4,0,16,1514,25,120,150,34,Power Tools
842,42,1,6208,0,16,2017-05-25,Measuring Tools,1437,133,29,41,60,16,134,1,125,44,0,8,1,5,3,21,1061,50,150,247,36,Power Tools
843,37,1,7520,1,16,2017-05-25,Cordless Power Tools,1964,49,53,88,33,4,89,45,74,45,1,8,10,10,7,22,1704,20,208,179,0,Power Tools
844,13,1,2000,0,16,2017-05-25,Fastening Systems,1591,125,46,52,59,3,119,79,60,1,0,5,2,6,3,14,1048,24,229,151,17,Power Tools
845,36,1,3838,0,16,2017-05-26,Diamond Tools,1295,19,40,78,72,15,59,68,17,47,2,8,8,9,7,7,1586,48,164,226,50,Power Tools
846,18,1,5469,0,16,2017-05-26,Drilling and Demolition Tools,1122,13,25,95,75,11,38,3,64,48,5,1,3,9,8,15,1499,22,118,262,8,Power Tools
847,22,1,1730,0,16,2017-05-26,Measuring Tools,858,124,34,84,86,4,177,64,89,52,4,1,1,2,4,6,1009,40,93,190,29,Power Tools
848,48,1,5026,1,16,2017-05-26,Cordless Power Tools,556,2,21,86,34,8,62,53,64,43,3,5,9,9,9,15,1520,48,173,150,32,Power Tools
849,51,1,9728,1,16,2017-05-26,Fastening Systems,834,44,38,71,94,1,65,87,81,34,5,9,2,3,4,6,1443,46,242,225,32,Power Tools
850,27,1,8361,1,16,2017-05-27,Diamond Tools,1050,137,20,63,74,0,222,43,87,50,2,9,0,6,1,6,1723,15,1,256,50,Power Tools
851,7,1,8415,1,16,2017-05-27,Drilling and Demolition Tools,1309,136,29,97,88,27,191,52,130,23,3,5,6,9,6,12,1637,23,170,184,39,Power Tools
852,24,1,1907,1,16,2017-05-27,Measuring Tools,1776,171,20,93,44,23,220,50,70,43,2,2,2,0,7,4,1056,36,67,252,38,Power Tools
853,42,1,8302,0,16,2017-05-27,Cordless Power Tools,1683,50,59,74,62,3,248,59,132,48,5,9,1,3,2,2,1910,13,66,267,14,Power Tools
854,27,1,2635,0,16,2017-05-27,Fastening Systems,1231,58,47,58,56,27,15,18,83,31,5,6,4,3,8,13,1573,48,175,257,15,Power Tools
855,43,1,6517,1,16,2017-05-28,Diamond Tools,1026,86,55,88,32,3,90,34,46,54,0,0,4,8,5,10,1562,32,170,241,5,Power Tools
856,25,1,5542,1,16,2017-05-28,Drilling and Demolition Tools,1977,23,40,83,74,0,83,72,168,56,0,4,10,7,8,8,1253,21,74,165,41,Power Tools
857,25,1,3518,1,16,2017-05-28,Measuring Tools,984,180,56,56,96,5,108,15,51,22,4,9,8,5,2,16,1792,10,174,215,0,Power Tools
858,33,1,9667,0,16,2017-05-28,Cordless Power Tools,613,92,50,59,30,11,10,68,99,2,2,0,4,6,5,13,1393,3,213,218,44,Power Tools
859,38,1,2219,1,16,2017-05-28,Fastening Systems,519,57,54,55,71,22,126,73,50,12,2,1,4,10,2,18,1727,49,64,228,27,Power Tools
860,51,1,6956,0,16,2017-05-29,Diamond Tools,1455,69,56,83,85,12,168,8,170,29,1,3,9,9,7,10,1131,24,156,247,12,Power Tools
861,50,1,4135,1,16,2017-05-29,Drilling and Demolition Tools,1178,227,34,47,84,26,217,31,105,49,3,0,3,2,8,0,1751,44,13,215,21,Power Tools
862,11,1,2928,1,16,2017-05-29,Measuring Tools,1531,233,40,48,97,3,246,56,179,20,0,7,3,10,8,5,1904,5,224,245,9,Power Tools
863,12,1,4900,1,16,2017-05-29,Cordless Power Tools,720,193,31,59,43,7,223,86,29,49,3,1,3,0,10,14,1584,43,122,157,23,Power Tools
864,33,1,8209,0,16,2017-05-29,Fastening Systems,1664,159,47,85,37,20,135,44,122,55,0,9,4,6,8,0,1490,24,28,202,18,Power Tools
865,39,1,7825,0,16,2017-05-30,Diamond Tools,1265,193,29,49,72,8,146,30,137,59,2,4,5,6,6,24,1263,6,120,252,37,Power Tools
866,30,1,2641,0,16,2017-05-30,Drilling and Demolition Tools,1818,185,20,93,32,27,119,85,34,11,5,7,2,6,2,2,1736,8,5,187,42,Power Tools
867,34,1,3120,0,16,2017-05-30,Measuring Tools,1391,197,23,61,87,3,206,0,152,27,5,10,6,8,4,23,1094,33,195,257,39,Power Tools
868,51,1,7668,0,16,2017-05-30,Cordless Power Tools,925,97,52,49,47,4,31,12,37,4,5,4,8,4,1,22,1622,4,246,204,12,Power Tools
869,16,1,1945,0,16,2017-05-30,Fastening Systems,562,82,38,75,58,6,208,76,23,29,5,8,4,0,8,21,1238,34,201,254,21,Power Tools
870,25,1,1928,0,16,2017-05-31,Diamond Tools,831,184,39,47,55,23,4,68,16,49,2,2,7,7,1,4,1316,50,187,158,38,Power Tools
871,41,1,6476,1,16,2017-05-31,Drilling and Demolition Tools,1515,162,38,76,83,17,11,17,23,46,2,8,3,9,1,12,1235,43,185,211,42,Power Tools
872,6,1,7893,1,16,2017-05-31,Measuring Tools,1505,13,51,66,72,27,179,44,177,57,0,1,9,1,4,4,1051,1,0,163,5,Power Tools
873,6,1,3647,0,16,2017-05-31,Cordless Power Tools,1040,125,47,44,44,9,159,33,143,13,1,2,9,5,4,1,1445,46,46,204,33,Power Tools
874,14,1,7926,0,16,2017-05-31,Fastening Systems,1218,155,20,93,35,17,230,34,65,23,4,6,2,1,10,23,1667,49,78,215,29,Power Tools
875,19,1,9969,1,16,2017-06-01,Diamond Tools,1380,63,33,94,36,20,73,19,152,20,4,10,10,9,4,17,1848,23,87,219,28,Power Tools
876,26,1,4658,1,16,2017-06-01,Drilling and Demolition Tools,1452,27,33,86,93,17,16,47,165,20,4,6,0,10,3,11,1319,1,206,183,14,Power Tools
877,2,1,4057,1,16,2017-06-01,Measuring Tools,1610,126,26,71,87,19,90,56,59,41,1,4,10,6,10,16,1813,21,81,158,7,Power Tools
878,1,1,4083,1,16,2017-06-01,Cordless Power Tools,1907,113,58,70,78,17,155,38,5,44,4,6,7,3,0,11,1938,26,98,222,4,Power Tools
879,9,1,8835,1,16,2017-06-01,Fastening Systems,567,116,28,78,98,15,1,31,4,45,2,0,2,1,9,7,1359,17,150,235,33,Power Tools
880,50,1,1741,0,16,2017-06-02,Diamond Tools,1641,25,59,96,71,8,248,29,177,55,2,0,3,2,3,0,1577,36,61,207,41,Power Tools
881,10,1,1053,1,16,2017-06-02,Drilling and Demolition Tools,1891,247,33,73,43,3,16,16,163,29,5,2,2,8,1,5,1459,20,207,208,43,Power Tools
882,48,1,4968,1,16,2017-06-02,Measuring Tools,753,205,45,70,79,30,229,37,173,31,0,3,9,0,7,10,1276,38,102,166,33,Power Tools
883,7,1,1509,1,16,2017-06-02,Cordless Power Tools,1608,229,35,61,52,6,74,43,52,57,2,3,2,7,8,14,1608,10,15,173,35,Power Tools
884,45,1,7541,1,16,2017-06-02,Fastening Systems,1915,142,43,84,99,28,130,32,21,15,5,2,5,7,2,8,1798,33,111,251,17,Power Tools
885,24,1,5710,1,16,2017-06-03,Diamond Tools,710,245,32,54,54,14,63,59,69,50,2,8,7,8,9,20,1896,44,85,220,17,Power Tools
886,47,1,1987,1,16,2017-06-03,Drilling and Demolition Tools,832,116,31,41,92,26,130,20,19,38,2,10,4,7,0,15,1249,23,116,205,42,Power Tools
887,47,1,9833,1,16,2017-06-03,Measuring Tools,1683,199,27,80,75,20,79,37,90,38,3,3,8,4,9,12,1107,36,19,223,37,Power Tools
888,1,1,3706,0,16,2017-06-03,Cordless Power Tools,939,10,41,49,80,20,161,5,153,38,3,5,8,3,4,10,1551,8,135,197,48,Power Tools
889,45,1,6276,1,16,2017-06-03,Fastening Systems,1188,207,41,72,56,0,15,78,25,10,0,5,2,3,6,1,1885,16,178,215,7,Power Tools
890,15,1,7101,1,16,2017-06-04,Diamond Tools,677,147,37,50,53,27,189,26,53,49,2,6,3,1,5,22,1161,50,174,190,43,Power Tools
891,17,1,3814,0,16,2017-06-04,Drilling and Demolition Tools,1027,80,36,41,32,25,211,85,103,11,5,4,6,2,4,7,1810,20,4,156,39,Power Tools
892,40,1,4406,1,16,2017-06-04,Measuring Tools,1210,95,31,98,64,19,243,16,68,40,3,8,2,2,6,22,1967,47,209,155,21,Power Tools
893,30,1,5470,0,16,2017-06-04,Cordless Power Tools,1849,95,22,74,61,0,13,33,130,8,3,5,1,6,2,8,1255,24,116,260,48,Power Tools
894,39,1,9570,0,16,2017-06-04,Fastening Systems,1502,131,23,82,41,12,86,73,7,23,2,9,1,2,10,2,1070,11,108,208,17,Power Tools
895,35,1,5430,1,16,2017-06-05,Diamond Tools,1345,103,34,41,80,24,247,21,165,27,0,3,2,4,10,20,1033,33,148,257,27,Power Tools
896,37,1,6320,0,16,2017-06-05,Drilling and Demolition Tools,525,230,26,100,58,10,215,63,95,45,4,2,9,1,5,13,1998,42,241,187,46,Power Tools
